modelo,tipo_relacion,caso,resultado_base,resultado_transformado,cumple_mr,error_tecnico,tiempo_segundos
gemma,Generalización,Suma de los primeros 100 números naturales,2550,5050,False,False,124.56
gemma,Generalización,Suma de ángulos (30 + 60),0.5,0.866,False,False,8.25
gemma,Generalización,"Suma de logaritmos (a=8, b=16)",7,6,False,False,8.9
gemma,Generalización,Derivada de x^33,"32,99","32,33",False,False,9.16
gemma,Generalización,Derivada de 2x^5 + 1x^4 + 5x^3 + 4x^2 + 4x^1 + 3,"2,3,4,4,4,8,10,15","2,3,4,4,4,8,10,15",True,False,21.86
gemma,Generalización,Integral de x^33,"34,34",1,False,False,10.13
gemma,Generalización,Integral de 2x^5 + 9x^4 + 2x^3 + 7x^2 + 1x^1 + 1,0.5,"2,2,2,3,3,3,4,4,5,5,6,7,9",False,False,30.69
gemma,Generalización,Suma telescopica (n=11),0.7561,0.8333333333,False,False,17.33
gemma,Generalización,"Progresión geométrica (a=2, r=2, n=11)",4094,2046,False,False,12.8
gemma,Generalización,Suma alternante (n=7),4,2.5,False,False,9.07
gemma,Generalización,"Progresión aritmética (a=3, d=2, n=7)",49,35,False,False,9.82
gemma,Generalización,Perímetro de la circunferencia,31.4159,31.41592653589793,True,False,12.81
gemma,Generalización,Suma ponderada (n=5),240,30,False,False,8.6
gemma,Generalización,Suma de cuadrados (n=7),140,175,False,False,11.1
gemma,Generalización,Suma de cubos de 1 a 7,744,1369,False,False,8.47
gemma,Generalización,Suma de diferencias cúbicas (n=7),"1,3,3,7",335,False,False,12.5
gemma,Generalización,Producto telescopico (n=7),0.125,0.125,True,False,9.53
gemma,Generalización,Caso factorial n=5,120,120,True,False,6.73
gemma,Generalización,Caso límite: sin(x)/x,1,1,True,False,6.33
gemma,Generalización,Binomio de Newton (2 + 3)^5,1024,1,False,False,8.32
gemma,Generalización,"Esperanza binomial (n=5, p=0.5)",2.5,2.5,True,False,8.06
gemma,Generalización,# aristas de un grafo completo de 8 vértices,28,28,True,False,8.36
gemma,Generalización,Área de la circunferencia,78.54,78.53981633974483,False,False,12.3
gemma,Generalización,Aproximación por series de Taylor,2.7182818011463845,1.9999999999,False,False,17.76
gemma,Generalización,Caso media aritmética,4.2,4.2,True,False,7.0
gemma,Generalización,Cuadrado de la suma,49,49,True,False,7.47
gemma,Generalización,Cuadrado de la resta,25,75,False,False,8.62
gemma,Generalización,Suma por diferencia,96,96,True,False,8.65
gemma,Generalización,Seno del ángulo doble (45),-0.58778525229,1,False,False,10.22
gemma,Generalización,tangente de 60,1.732,1.732,True,False,8.16
gemma,Verificación de solución,Evaluación de la solución de la ecuación 2*x + 3 = 11,4,no,False,False,7.65
gemma,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones 4*x + 7*y = 1, 9*x - 5*y = 23","-1,3",no,True,False,9.74
gemma,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones x^2 + y = 5, x + y = 3","1,1,2,2",no,True,False,10.65
gemma,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones sqrt(x) + y = 5, x + y = 7","3,4",si,True,False,8.25
gemma,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones x*y = 6, x + y = 5","2,3",si,True,False,8.22
gemma,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones x/2 + y = 3, x - y = 1","1,2",si,False,False,9.52
gemma,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones (1/2)*x + (1/3)*y = 7/6, (1/4)*x - (1/5)*y = -3/20","2,3",si,False,False,12.97
