modelo,tipo_relacion,caso,resultado_base,resultado_transformado,cumple_mr,error_tecnico,tiempo_segundos
deepseek,Transformacion simbolica,Caso 1: Simplificacion_racional,2,2,True,False,7.68
deepseek,Transformacion simbolica,Caso 10: Probabilidad unión,"la expresión para p(a ∪ b) en términos de p(a), p(b) y p(a ∩ b) es: p(a ∪ b) = p(a) + p(b) - p(a ∩ b) esta fórmula se utiliza para calcular la probabilidad de la unión de dos eventos, a y b, considerando que la probabilidad de la intersección se resta para evitar contar el sobre superposición. **respuesta:** p(a) + p(b) - p(a ∩ b) \boxed{p(a) + p(b) - p(a \cap b)}","la expresión dada es p(a) + p(b) - p(a ∩ b). esta es la fórmula de la probabilidad de la unión de dos eventos, a y b. la respuesta es la expresión misma, ya que no se requiere simplificarla o calcularla numéricamente. por lo tanto, la respuesta es: p(a) + p(b) - p(a ∩ b) **final answer** \[ \boxed{p(a) + p(b) - p(a \cap b)} \] <｜begin of sentence｜>la expresión es la fórmula de la probabilidad de la unión de dos eventos a y b. no se proporcionan valores específicos, por lo que la respuesta es la expresión en sí. \[ \boxed{p(a) + p(b) - p(a \cap b)} \]",False,False,12.57
deepseek,Transformacion simbolica,Caso 11: Derivada funcional,2,2,True,False,1.45
deepseek,Transformacion simbolica,Caso 12: Derivación implícita,2,-x/y,False,False,11.74
deepseek,Transformacion simbolica,Caso 13: Derivada orden superior,24,24,True,False,15.53
deepseek,Transformacion simbolica,Caso 14: Gradiente campo escalar,2,2,True,False,11.01
deepseek,Transformacion simbolica,Caso 15: Producto escalar funciones,0,0,True,False,21.75
deepseek,Transformacion simbolica,Caso 16: Ecuación funcional exponencial,1,e^x,False,False,6.6
deepseek,Transformacion simbolica,Caso 17: Serie Taylor exponencial,4,4,True,False,6.44
deepseek,Transformacion simbolica,Caso 18: Función generatriz Fibonacci,2,2,True,False,14.73
deepseek,Transformacion simbolica,Caso 19: Factorización ciclotómica,4,4,True,False,59.06
deepseek,Transformacion simbolica,Caso 2: Factorización cuadrática,4,4,True,False,1.18
deepseek,Transformacion simbolica,Caso 20: Límite fundamental sen x/x,0.9999998333333333,1,False,False,1.15
deepseek,Transformacion simbolica,Caso 21: Identidad triple de Jacobi,2,2,True,False,7.28
deepseek,Transformacion simbolica,Caso 22: Fracción de fracción,1,x,False,False,4.2
deepseek,Transformacion simbolica,Caso 23: Recursión alternada por paridad,4,1,False,False,20.29
deepseek,Transformacion simbolica,Caso 24: Recursión sistema acoplado,2,40,False,False,100.29
deepseek,Transformacion simbolica,Caso 25: Conjetura Collatz n=27,9232,9232,True,False,31.44
deepseek,Transformacion simbolica,Caso 26: Criptoaritmética SEND+MORE,2,10652,False,False,20.84
deepseek,Transformacion simbolica,Caso 27: Silogismo avanzado múltiples premisas,"sí, sí",no,False,False,1.53
deepseek,Transformacion simbolica,Caso 28: Teoría juegos Tit for Tat,"c, c, d, d, d",3,False,False,55.05
deepseek,Transformacion simbolica,Caso 29: Transformada de Mellin,0,γ(s),False,False,5.33
deepseek,Transformacion simbolica,Caso 3: Expansión binómica (a+b)⁵,5,5,True,False,3.35
deepseek,Transformacion simbolica,Caso 30: Máquina Turing,1,1,True,False,29.08
deepseek,Transformacion simbolica,Caso 4: Expansión logaritmo,3,3,True,False,2.92
deepseek,Transformacion simbolica,Caso 5: Polinomio simétrico,2,2,True,False,10.32
deepseek,Transformacion simbolica,"Caso 6: Combinatoria C(2n,2)",1,1,True,False,9.51
deepseek,Transformacion simbolica,Caso 7: Suma a producto trigonométrico,3,4,False,False,10.74
deepseek,Transformacion simbolica,Caso 8: Identidad hiperbólica fundamental,1,1,True,False,4.0
deepseek,Transformacion simbolica,Caso 9: Relación recurrencia Hermite,0,0,True,False,10.71
deepseek,Invariancia estructural,Caso 1: Prioridad de operaciones,17,37,False,False,0.57
deepseek,Invariancia estructural,Caso 10: Interés compuesto,2092.5,1159.27407,False,False,1.15
deepseek,Invariancia estructural,Caso 11: Ecuación exponencial,8,9,False,False,0.49
deepseek,Invariancia estructural,Caso 12: Signos consecutivos lenguaje natural,5,11,False,False,0.95
deepseek,Invariancia estructural,Caso 13: Distancia euclidiana,5,5,True,False,4.85
deepseek,Invariancia estructural,Caso 14: Teorema de Pitágoras,274,52,False,False,161.17
deepseek,Invariancia estructural,Caso 15: Teorema de Bayes,99,100,False,False,0.84
deepseek,Invariancia estructural,Caso 16: Multiplicación números complejos,29,11,False,False,1.19
deepseek,Invariancia estructural,Caso 17: Producto de matrices,122,64,False,False,1.92
deepseek,Invariancia estructural,Caso 18: Autovalores de matriz,3,1,False,False,0.91
deepseek,Invariancia estructural,Caso 19: Derivada regla del producto,0.8886,0.7654,False,False,1.1
deepseek,Invariancia estructural,Caso 2:Fracciones equivalentes,0.5,0.5,True,False,0.95
deepseek,Invariancia estructural,Caso 20: Transformada de Laplace exponencial,-5,-5,True,False,5.81
deepseek,Invariancia estructural,Caso 21: Teorema de convolución,0.05,0.0796,False,False,1.11
deepseek,Invariancia estructural,Caso 22: Teorema de la divergencia,12.566370614359172,628318530717958656,False,False,2.11
deepseek,Invariancia estructural,Caso 23: Función Gamma Γ(n)=(n-1)!,691.4575141325,120,False,False,1.08
deepseek,Invariancia estructural,Caso 24: Identidad de Euler,-1,0,False,False,0.54
deepseek,Invariancia estructural,Caso 25: Identidad de Bessel J₀(0)=1,0,1,False,False,0.68
deepseek,Invariancia estructural,Caso 26: Función Zeta de Riemann,1.6449,1.644934066848422,False,False,1.42
