modelo,tipo_relacion,caso,resultado_base,resultado_transformado,cumple_mr,error_tecnico,tiempo_segundos
chatgpt,Transformación simbólica,Caso 1: Simplificacion_racional,2,2,True,False,70.77
chatgpt,Transformación simbólica,Caso 10: Probabilidad unión,p(a)+p(b)-p(a∩b),p(a ∪ b),False,False,14.38
chatgpt,Transformación simbólica,Caso 11: Derivada funcional,2,2,True,False,8.86
chatgpt,Transformación simbólica,Caso 12: Derivación implícita,-x/y,-x/y,True,False,6.36
chatgpt,Transformación simbólica,Caso 13: Derivada orden superior,24,ERROR,False,True,421.59
chatgpt,Transformación simbólica,Caso 14: Gradiente campo escalar,2,2,True,False,18.82
chatgpt,Transformación simbólica,Caso 15: Producto escalar funciones,0,0,True,False,15.96
chatgpt,Transformación simbólica,Caso 16: Ecuación funcional exponencial,e^x,0,False,False,20.17
chatgpt,Transformación simbólica,Caso 17: Serie Taylor exponencial,24,e^x,False,False,11.42
chatgpt,Transformación simbólica,Caso 18: Función generatriz Fibonacci,2,2,True,False,137.35
chatgpt,Transformación simbólica,Caso 19: Factorización ciclotómica,2,4,False,False,24.88
chatgpt,Transformación simbólica,Caso 2: Factorización cuadrática,4,12,False,False,7.21
chatgpt,Transformación simbólica,Caso 20: Límite fundamental sen x/x,1,1,True,False,8.29
chatgpt,Transformación simbólica,Caso 21: Identidad triple de Jacobi,2,2,True,False,35.64
chatgpt,Transformación simbólica,Caso 22: Fracción de fracción,x,"para poder determinar x necesito la ecuación o el contexto en el que aparece. por favor, indícame la ecuación completa o la relación que relaciona x con otras variables.",False,False,8.97
chatgpt,Transformación simbólica,Caso 23: Recursión alternada por paridad,2,4,False,False,233.71
chatgpt,Transformación simbólica,Caso 24: Recursión sistema acoplado,2,1,False,False,118.95
chatgpt,Transformación simbólica,Caso 25: Conjetura Collatz n=27,9232,9232,True,False,134.02
chatgpt,Razonamiento simbólico,Caso 26: Criptoaritmética SEND+MORE,2,4,False,False,218.21
chatgpt,Transformación simbólica,Caso 27: Silogismo avanzado múltiples premisas,"sí, no","sí, no",True,False,70.11
chatgpt,Razonamiento simbólico,Caso 28: Teoría juegos Tit for Tat,"c, c, d, c, c",1,False,False,90.2
chatgpt,Transformación simbólica,Caso 29: Transformada de Mellin,γ(s),-1,False,False,12.84
chatgpt,Transformación simbólica,Caso 3: Expansión binómica (a+b)⁵,5,5,True,False,9.37
chatgpt,Razonamiento simbólico,Caso 30: Máquina Turing,11,1,False,False,135.68
chatgpt,Transformación simbólica,Caso 4: Expansión logaritmo,3,3,True,False,35.82
chatgpt,Transformación simbólica,Caso 5: Polinomio simétrico,3,∑ rᵢ²,False,False,46.6
chatgpt,Transformación simbólica,"Caso 6: Combinatoria C(2n,2)",1,2,False,False,9.94
chatgpt,Transformación simbólica,Caso 7: Suma a producto trigonométrico,4,3,False,False,17.09
chatgpt,Transformación simbólica,Caso 8: Identidad hiperbólica fundamental,1,1,True,False,13.94
chatgpt,Transformación simbólica,Caso 9: Relación recurrencia Hermite,0,0,True,False,29.28
chatgpt,Invariancia estructural,Caso 1: Prioridad de operaciones,17,17,True,False,15.65
chatgpt,Invariancia estructural,Caso 10: Interés compuesto,2552.56,2552.563125,False,False,36.42
chatgpt,Invariancia estructural,Caso 11: Ecuación exponencial,9,9,True,False,5.94
chatgpt,Invariancia estructural,Caso 12: Signos consecutivos lenguaje natural,11,11,True,False,4.74
chatgpt,Invariancia estructural,Caso 13: Distancia euclidiana,5,5,True,False,7.84
chatgpt,Invariancia estructural,Caso 14: Teorema de Pitágoras,16.5529,16.5529,True,False,25.94
