modelo,tipo_relacion,caso,resultado_base,resultado_transformado,cumple_mr,error_tecnico,tiempo_segundos
deepseek,Aritmética,Caso 1: Conmutatividad multiplicación (7+2×5 vs 7+5×2),17,17,True,False,6.64
deepseek,Aritmética,Caso 10: Potencia de fracción compleja ((3/4)^3 vs 27/64),0.421875,0.421875,True,False,8.3
deepseek,Aritmética,Caso 11: Expresión anidada profunda (2^(3+1) × (10-(2×3)) vs 2^4 × 4),256,16,False,False,4.91
deepseek,Aritmética,Caso 12: Diferencia de cuadrados encadenada (7^2-3^2 vs (7+3)×(7-3)),40,40,True,False,6.4
deepseek,Aritmética,Caso 13: Operación mixta larga con potencias y fracciones (2^5/(4×(3+1)) - 1/2 vs 32/16 - 1/2),1,1,True,False,6.45
deepseek,Aritmética,Caso 14: Suma de cubos vs factorización (2^3+3^3 vs (2+3)×(4-6+9)),26,49,False,False,6.17
deepseek,Aritmética,Caso 15: Fracción compleja anidada ((1+1/2)/(1-1/4) vs (3/2)/(3/4)),1.3333333333,2,False,False,5.09
deepseek,Aritmética,Caso 16: Suma progresión geométrica directa vs fórmula (1+2+4+8+16 vs 2^5-1),31,31,True,False,5.51
deepseek,Aritmética,Caso 17: Raíz de expresión compleja (sqrt((3^2+4^2)×(5^2-3^2)) vs sqrt(25×16)),10,20,False,False,6.28
deepseek,Aritmética,Caso 18: Factorial parcial vs producto equivalente (5!/(3!) vs 4×5),10,veinte.,False,False,4.67
deepseek,Aritmética,Caso 19: Expresión con raíces y potencias (sqrt(2^6 × 3^2) vs 2^3 × 3),24,24,True,False,6.84
deepseek,Aritmética,Caso 2: Conmutatividad suma (3+8 vs 8+3),11,11,True,False,3.53
deepseek,Aritmética,Caso 20: Expresión de máxima complejidad ((2^4-4^(1/2))×(3/2+7/6) - 5^2/5 vs 12×(8/3) - 5),1,15,False,False,6.84
deepseek,Aritmética,Caso 21: Binomio de Newton vs cálculo directo ((1+1/3)^3 vs 1+3×(1/3)+3×(1/9)+1/27),2.3703703704,2,False,False,8.48
deepseek,Aritmética,Caso 22: Suma encadenada de fracciones vs resultado (1/2+1/4+1/8+1/16+1/32 vs 31/32),0.96875,0.25,False,False,37.57
deepseek,Aritmética,"Caso 23: Número combinatorio C(6,2) vs expresión factorial (6!/(2!×4!) vs 15)",1,15,False,False,5.25
deepseek,Aritmética,Caso 24: Expresión con valor absoluto y potencias (|3^2 - 4^2| vs |9-16|),1,7,False,False,7.53
deepseek,Aritmética,Caso 25: Suma de cuadrados consecutivos vs fórmula (1^2+2^2+3^2+4^2+5^2 vs 5×6×11/6),55,33,False,False,6.37
deepseek,Aritmética,Caso 26: Producto telescópico de raíces (sqrt(2/3)×sqrt(3/5)×sqrt(5/7)×sqrt(7/2) vs 1),1,1,True,False,7.21
deepseek,Aritmética,Caso 27: Simplificación de suma de fracciones antes de potencia ((1/2+1/3+1/6)^3 vs 1^3),0.1666666667,1,False,False,6.89
deepseek,Aritmética,Caso 28: Norma euclídea 4D directa vs suma de normas parciales (3^2+(-4)^2+12^2+(-5)^2 vs (sqrt(3^2+4^2))^2+(sqrt(12^2+5^2))^2),194,25,False,False,9.24
deepseek,Aritmética,Caso 29: Cascada de potencias con múltiples bases ((2^3×3^2×5^1)/(2^1×3^3×5^2) vs (8×9×5)/(2×27×25)),0.2,1,False,False,7.37
deepseek,Aritmética,Caso 3: Asociatividad suma ((2+3)+4 vs 2+(3+4)),7,7,True,False,3.99
deepseek,Aritmética,"Caso 30: Expresión con combinatorios, factoriales y potencias (C(6,3)×3!×2^3 / (6!/3!) vs (20×6×8)/120)",16,8,False,False,8.71
deepseek,Aritmética,Caso 4: Asociatividad multiplicación ((2×3)×4 vs 2×(3×4)),24,24,True,False,5.53
deepseek,Aritmética,Caso 5: Distributiva suma (3×6+3×4 vs 3×(6+4)),9,15,False,False,4.28
deepseek,Aritmética,Caso 6: Elemento neutro suma (15+0 vs 15),15,5,False,False,3.12
deepseek,Aritmética,Caso 7: Suma telescópica vs resultado directo (1/(1×2)+1/(2×3)+1/(3×4)+1/(4×5) vs 4/5),0.5,0.8,False,False,6.38
deepseek,Aritmética,Caso 8: Media ponderada vs expresión directa ((3×7 + 5×3 + 2×10) / (3+5+2) vs 56/10),4,0.56,False,False,5.9
deepseek,Aritmética,Caso 9: Suma progresión aritmética directa vs fórmula (3+7+11+15+19 vs 5×(3+19)/2),45,110,False,False,7.19
deepseek,Algebraica,Caso 1: Diferencia de cuadrados (a = 4),-4,-4,True,False,10.86
