modelo,tipo_relacion,caso,resultado_base,resultado_transformado,cumple_mr,error_tecnico,tiempo_segundos
deepseek,Generalización,Suma de los primeros 100 números naturales,"-1,1,1,1,1,2,2,2,2,50,100,100,100,100,100,101,5050,5050,5050",5050,False,False,411.36
deepseek,Generalización,Suma de ángulos (30 + 60),0.866,0.86602540378,True,False,28.76
deepseek,Generalización,"Suma de logaritmos (a=8, b=16)",4,4,True,False,27.0
deepseek,Generalización,Derivada de x^33,"32,33","32,33",True,False,24.57
deepseek,Generalización,Derivada de 2x^5 + 1x^4 + 5x^3 + 4x^2 + 4x^1 + 3,"2,3,4,4,4,8,10,15","2,3,4,4,4,8,10,15",True,False,48.51
deepseek,Generalización,Integral de x^33,0.0294117647,"33,34,34",False,False,30.97
deepseek,Generalización,Integral de 2x^5 + 9x^4 + 2x^3 + 7x^2 + 1x^1 + 1,0.5,0.5,True,False,63.47
deepseek,Generalización,Suma telescopica (n=11),0.9166666667,1,False,False,98.89
deepseek,Generalización,"Progresión geométrica (a=2, r=2, n=11)",10233,4094,False,False,42.49
deepseek,Generalización,Suma alternante (n=7),15,-4,False,False,26.92
deepseek,Generalización,"Progresión aritmética (a=3, d=2, n=7)",42,42,True,False,27.53
deepseek,Generalización,Perímetro de la circunferencia,31.41592653589793,31.41592653589793,True,False,33.56
deepseek,Generalización,Suma ponderada (n=5),"1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,8,8,8,10,10,16,24,24,32,34,34,64,64,98,98,160,160,258,258","-1,-1,-1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,5,6,6,64,64,256,258,258,258",False,False,144.84
deepseek,Generalización,Suma de cuadrados (n=7),35,35,True,False,30.77
deepseek,Generalización,Suma de cubos de 1 a 7,351,140425,False,False,23.25
deepseek,Generalización,Suma de diferencias cúbicas (n=7),127,343,False,False,31.94
deepseek,Generalización,Producto telescopico (n=7),ERROR,0.125,False,True,616.41
deepseek,Generalización,Caso factorial n=5,120,120,True,False,17.39
deepseek,Generalización,Caso límite: sin(x)/x,0.999999999999999,1,True,False,23.97
deepseek,Generalización,Binomio de Newton (2 + 3)^5,32,1,False,False,24.08
deepseek,Generalización,"Esperanza binomial (n=5, p=0.5)",0,2.5,False,False,21.72
deepseek,Generalización,# aristas de un grafo completo de 8 vértices,28,28,True,False,23.06
deepseek,Generalización,Área de la circunferencia,"3.1415926535,25",25,False,False,31.79
deepseek,Generalización,Aproximación por series de Taylor,10,3,False,False,37.29
deepseek,Generalización,Caso media aritmética,4.2,4.2,True,False,18.35
deepseek,Generalización,Cuadrado de la suma,49,9,False,False,19.3
deepseek,Generalización,Cuadrado de la resta,25,25,True,False,19.84
deepseek,Generalización,Suma por diferencia,48,100,False,False,23.21
deepseek,Generalización,Seno del ángulo doble (45),1,0.7071,False,False,21.95
deepseek,Generalización,tangente de 60,3,1.7321,False,False,18.62
deepseek,Verificación de solución,Evaluación de la solución de la ecuación 2*x + 3 = 11,3.5,no,True,False,22.15
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones 4*x + 7*y = 1, 9*x - 5*y = 23","0.5,3",no,True,False,27.63
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones x^2 + y = 5, x + y = 3","1,2",si,True,False,23.84
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones sqrt(x) + y = 5, x + y = 7","2,3",si,False,False,24.33
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones x*y = 6, x + y = 5","2,3",si,True,False,23.8
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones x/2 + y = 3, x - y = 1","1,2",si,False,False,23.8
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones (1/2)*x + (1/3)*y = 7/6, (1/4)*x - (1/5)*y = -3/20","0.5,1",si,False,False,36.3
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones 2/x + 3/y = 2, 4/x - 3/y = 1","2,3",si,True,False,27.67
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones 123*x + 456*y = 789, x - y = 1","1,123,456,789",no,True,False,35.37
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones x + y + z = 0, x + y - z = 2, 2*x - y + 3*z = -1","-1,-1,2",si,False,False,33.59
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones (1/2)*x + (1/3)*y + (1/4)*z = 13/12, (1/3)*x - (1/2)*y + (1/5)*z = 1/30, (1/4)*x + (1/4)*y - (1/3)*z = 1/6","1,2,3",si,False,False,56.33
deepseek,Verificación de solución,Evaluación de la solución de la ecuación x^2 = 9,"-3,3",no,False,False,19.97
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones 6/x + 4/y + 2/z = 12, 3/x - 2/y + 4/z = 5, 9/x - 2/y - 2/z = 5","1,2,3",si,False,False,38.13
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones sqrt(2)*x + sqrt(3)*y + sqrt(5)*z = sqrt(2)+sqrt(3)+sqrt(5), sqrt(3)*x + sqrt(5)*y + sqrt(2)*z = sqrt(3)+sqrt(5)+sqrt(2), sqrt(5)*x + sqrt(2)*y + sqrt(3)*z = sqrt(5)+sqrt(2)+sqrt(3)","1,1,1",no,False,False,56.55
deepseek,Verificación de solución,"Evaluación de la solución al sistema de ecuaciones x + 2*y - z + 3*t = -8, 2*x + 2*z -t = 13, -x + y + z - t = 8, 3*x +3*y - z + 2*t = -1","-4,-2,1,3",no,True,False,45.1
deepseek,Verificación de solución,Evaluación de la solución a la integral definida x^2 entre 0 y 2,4,no,True,False,18.01
deepseek,Verificación de solución,Evaluación de la solución a la integral definida x^2 + 2*x + 1 entre 0 y 1,1,no,True,False,20.74
deepseek,Verificación de solución,Evaluación de la solución a la integral definida sin(x) entre 0 y 6.283185307179586,0.000799,no,True,False,27.91
deepseek,Verificación de solución,Evaluación de la solución a la integral definida abs(x) entre -1 y 1,0.6667,no,True,False,20.38
