modelo,tipo_relacion,caso,resultado_base,resultado_transformado,cumple_mr,error_tecnico,tiempo_segundos
gemma,Aritmética,Caso 1: Conmutatividad multiplicación (7+2×5 vs 7+5×2),17.0,17,True,False,25.08
gemma,Aritmética,Caso 10: Potencia de fracción compleja ((3/4)^3 vs 27/64),0.421875,0.421875,True,False,10.02
gemma,Aritmética,Caso 11: Expresión anidada profunda (2^(3+1) × (10-(2×3)) vs 2^4 × 4),32.0,64,False,False,9.23
gemma,Aritmética,Caso 12: Diferencia de cuadrados encadenada (7^2-3^2 vs (7+3)×(7-3)),40.0,40,True,False,9.52
gemma,Aritmética,Caso 13: Operación mixta larga con potencias y fracciones (2^5/(4×(3+1)) - 1/2 vs 32/16 - 1/2),0.25,1.5,False,False,11.02
gemma,Aritmética,Caso 14: Suma de cubos vs factorización (2^3+3^3 vs (2+3)×(4-6+9)),35.0,36,False,False,10.02
gemma,Aritmética,Caso 15: Fracción compleja anidada ((1+1/2)/(1-1/4) vs (3/2)/(3/4)),1.5,2,False,False,9.77
gemma,Aritmética,Caso 16: Suma progresión geométrica directa vs fórmula (1+2+4+8+16 vs 2^5-1),31.0,31,True,False,10.55
gemma,Aritmética,Caso 17: Raíz de expresión compleja (sqrt((3^2+4^2)×(5^2-3^2)) vs sqrt(25×16)),30.0,20,False,False,10.32
gemma,Aritmética,Caso 18: Factorial parcial vs producto equivalente (5!/(3!) vs 4×5),20.0,20,True,False,10.38
gemma,Aritmética,Caso 19: Expresión con raíces y potencias (sqrt(2^6 × 3^2) vs 2^3 × 3),144.0,24,False,False,9.18
gemma,Aritmética,Caso 2: Conmutatividad suma (3+8 vs 8+3),11.0,11,True,False,8.07
gemma,Aritmética,Caso 20: Expresión de máxima complejidad ((2^4-4^(1/2))×(3/2+7/6) - 5^2/5 vs 12×(8/3) - 5),14.5,59,False,False,12.96
gemma,Aritmética,Caso 21: Binomio de Newton vs cálculo directo ((1+1/3)^3 vs 1+3×(1/3)+3×(1/9)+1/27),4.4814814815,1.5,False,False,11.75
gemma,Aritmética,Caso 22: Suma encadenada de fracciones vs resultado (1/2+1/4+1/8+1/16+1/32 vs 31/32),0.9375,0.96875,False,False,12.4
gemma,Aritmética,"Caso 23: Número combinatorio C(6,2) vs expresión factorial (6!/(2!×4!) vs 15)",15.0,15,True,False,11.39
gemma,Aritmética,Caso 24: Expresión con valor absoluto y potencias (|3^2 - 4^2| vs |9-16|),7.0,7,True,False,10.34
gemma,Aritmética,Caso 25: Suma de cuadrados consecutivos vs fórmula (1^2+2^2+3^2+4^2+5^2 vs 5×6×11/6),55.0,55,True,False,12.53
gemma,Aritmética,Caso 26: Producto telescópico de raíces (sqrt(2/3)×sqrt(3/5)×sqrt(5/7)×sqrt(7/2) vs 1),1.0,1,True,False,13.47
gemma,Aritmética,Caso 27: Simplificación de suma de fracciones antes de potencia ((1/2+1/3+1/6)^3 vs 1^3),1.0,1,True,False,9.34
gemma,Aritmética,Caso 28: Norma euclídea 4D directa vs suma de normas parciales (3^2+(-4)^2+12^2+(-5)^2 vs (sqrt(3^2+4^2))^2+(sqrt(12^2+5^2))^2),202.0,121,False,False,12.71
gemma,Aritmética,Caso 29: Cascada de potencias con múltiples bases ((2^3×3^2×5^1)/(2^1×3^3×5^2) vs (8×9×5)/(2×27×25)),0.0666666667,0.4,False,False,12.94
gemma,Aritmética,Caso 3: Asociatividad suma ((2+3)+4 vs 2+(3+4)),9.0,9,True,False,8.65
gemma,Aritmética,"Caso 30: Expresión con combinatorios, factoriales y potencias (C(6,3)×3!×2^3 / (6!/3!) vs (20×6×8)/120)",144.0,80,False,False,15.69
gemma,Aritmética,Caso 4: Asociatividad multiplicación ((2×3)×4 vs 2×(3×4)),24.0,24,True,False,8.85
gemma,Aritmética,Caso 5: Distributiva suma (3×6+3×4 vs 3×(6+4)),30.0,30,True,False,9.62
gemma,Aritmética,Caso 6: Elemento neutro suma (15+0 vs 15),15.0,15,True,False,7.94
gemma,Aritmética,Caso 7: Suma telescópica vs resultado directo (1/(1×2)+1/(2×3)+1/(3×4)+1/(4×5) vs 4/5),1.0,0.8,False,False,10.66
gemma,Aritmética,Caso 8: Media ponderada vs expresión directa ((3×7 + 5×3 + 2×10) / (3+5+2) vs 56/10),6.0,5.6,False,False,10.64
gemma,Aritmética,Caso 9: Suma progresión aritmética directa vs fórmula (3+7+11+15+19 vs 5×(3+19)/2),45.0,17.5,False,False,11.64
gemma,Algebraica,Caso 1: Diferencia de cuadrados (a = 4),-4.0,2,False,False,12.67
gemma,Algebraica,Caso 1: Diferencia de cuadrados (a = 0),0.0,0,True,False,9.55
gemma,Algebraica,Caso 10: Cancelación con parámetro (a = 2),2.0,1,False,False,11.06
gemma,Algebraica,Caso 10: Cancelación con parámetro (a = -1),1.0,0,False,False,10.27
gemma,Algebraica,Caso 11: Asociativa suma ((x+2)+5=12 vs x+(2+5)=12),5.0,7,False,False,9.93
gemma,Algebraica,Caso 12: Conmutativa ecuación (3x+7=22 vs 7+3x=22),3.0,4,False,False,8.91
gemma,Algebraica,Caso 13: Traslado términos (5x-3=2x+9 vs 5x-2x=9+3),3.0,4,False,False,11.02
gemma,Algebraica,Caso 14: Multiplicar ambos lados (x/3=4 vs x=4*3),12.0,12,True,False,8.73
gemma,Algebraica,Caso 15: Cuadrática completar cuadrado (x^2+6x+5=0 vs (x+3)^2=4),-1.0,-1,True,False,12.42
gemma,Algebraica,Caso 16: Sistema sustitución vs eliminación (x+y=10 y x-y=4),7.0,7,True,False,13.57
gemma,Algebraica,Caso 17: Ecuación fracciones vs entera (x/2+x/3=5 vs 3x+2x=30),6.0,10,False,False,9.65
gemma,Algebraica,Caso 18: Inecuación reescrita (4x-3>2x+7 vs 2x>10),3.0,6,False,False,12.43
gemma,Algebraica,Caso 19: Ecuación racional con denominador común,2.0,2,True,False,9.67
gemma,Algebraica,Caso 2: Distribución con excepción (a = 2),-2.0,2,False,False,10.32
gemma,Algebraica,Caso 2: Distribución con excepción (a = 0),2.0,NO_SOLUTION,False,False,10.28
gemma,Algebraica,Caso 20: Suma de fracciones,6.0,18,False,False,10.28
gemma,Algebraica,Caso 21: Ecuación con valor absoluto,-2.0,-2,True,False,11.7
gemma,Algebraica,Caso 22: Fórmula general vs raíz cuadrada (c = 9),3.0,3,True,False,10.25
gemma,Algebraica,Caso 22: Fórmula general vs raíz cuadrada (c = 25),5.0,5,True,False,9.89
gemma,Algebraica,Caso 22: Fórmula general vs raíz cuadrada (c = 49),7.0,7,True,False,10.15
gemma,Algebraica,Caso 23: Distributiva — 3(x+4)=21 vs 3x+12=21,3.0,3,True,False,9.39
gemma,Algebraica,Caso 23: Distributiva — 5(x+2)=30 vs 5x+10=30,4.0,4,True,False,8.83
gemma,Algebraica,Caso 23: Distributiva — 2(x+7)=20 vs 2x+14=20,3.0,3,True,False,9.02
gemma,Algebraica,Caso 24: Traslado de términos — 4x+6=22 vs 4x=16,4.0,4,True,False,8.39
gemma,Algebraica,Caso 24: Traslado de términos — 3x+9=24 vs 3x=15,5.0,5,True,False,8.19
gemma,Algebraica,Caso 24: Traslado de términos — 7x+5=33 vs 7x=28,4.0,4,True,False,8.09
gemma,Algebraica,Caso 25: Variable en ambos lados — 7x=3x+12 vs 4x=12,3.0,3,True,False,8.24
gemma,Algebraica,Caso 25: Variable en ambos lados — 9x=4x+20 vs 5x=20,4.0,4,True,False,8.61
gemma,Algebraica,Caso 25: Variable en ambos lados — 6x=2x+16 vs 4x=16,4.0,4,True,False,8.51
gemma,Algebraica,"Caso 26: Cuadrado de binomio — (x+2)^2=25 vs expandida, solución mayor",3.0,-3,False,False,11.57
gemma,Algebraica,"Caso 26: Cuadrado de binomio — (x+1)^2=16 vs expandida, solución mayor",3.0,3,True,False,11.02
